CDPHId,ProductName,CSFId,CSF,CompanyId,CompanyName,BrandName,PrimaryCategoryId,PrimaryCategory,SubCategoryId,SubCategory,CasId,CasNumber,ChemicalId,ChemicalName,InitialDateReported,MostRecentDateReported,DiscontinuedDate,ChemicalCreatedAt,ChemicalUpdatedAt,ChemicalDateRemoved,ChemicalCount,DayNightUsage,SkinType,MaximumUsageDuration,ProductVolume,ProductRating,ReviewCount,ProductForm,TargetDemographic,IngredientCount,PackagingType,RecyclablePackaging,Certifications
8025,LIP GLISTEN,12413.0,LOADED,321,"BEAUTY SOCIETY, INC.",BEAUTY SOCIETY,44,Makeup Products (non-permanent),52,Lip Gloss/Shine,656,13463-67-7,12577,Titanium dioxide,12/09/2009,12/30/2010,2000-01-01,12/09/2009,12/09/2009,2000-01-01,2,Night,Oily,36 months,200ml,3.0,1242.0,cream,Teens,2.0,tube,No,None
26319,CLE DE PEAU BEAUTE EXTRA RICH LIPSTICK,39980.0,209,351,"Shiseido Co., Ltd.",CLE DE PEAU BEAUTE,44,Makeup Products (non-permanent),53,"Lip Color - Lipsticks, Liners, and Pencils",656,13463-67-7,41552,Titanium dioxide,05/28/2015,05/28/2015,2000-01-01,05/28/2015,05/28/2015,2000-01-01,1,Day,Sensitive,24 months,30g,4.0,1213.0,powder,Men,14.0,bottle,Yes,Organic
25222,SHISEIDO SHEER AND PERFECT FOUNDATION,39749.0,D30,1011,Shiseido Americas Corporation,SHISEIDO,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,41438,Titanium dioxide,01/20/2015,06/01/2015,2000-01-01,05/19/2015,05/19/2015,2000-01-01,1,Day,Dry,12 months,100ml,1.0,3600.0,gel,Women,16.0,tube,Yes,Organic
21869,Elizabeth Arden Flawless Finish Perfectly Nude Makeup SPF 15,32445.0,Spice,69,"Elizabeth Arden, Inc.",Elizabeth Arden,44,Makeup Products (non-permanent),172,Makeup Preparations,656,13463-67-7,33272,Titanium dioxide,12/27/2013,01/19/2017,2000-01-01,12/27/2013,12/27/2013,2000-01-01,1,Both,Normal,24 months,100ml,4.0,361.0,liquid,Men,19.0,jar,No,Eco-Friendly
28616,Liquid Lips Naked,,,158,"Anastasia Beverly Hills, LLC",Anastasia Beverly Hills,44,Makeup Products (non-permanent),53,"Lip Color - Lipsticks, Liners, and Pencils",656,13463-67-7,46219,Titanium dioxide,07/06/2016,07/06/2016,2000-01-01,07/06/2016,07/06/2016,2000-01-01,1,Night,Normal,36 months,50ml,5.0,3535.0,powder,Children,25.0,bottle,No,None
34315,SEPHORA - DUO DE FARDS A JOUES MAT PERFECTION / MATTE PERFECTION BLUSH DUO,54316.0,06 Tiger lily,198,S+,SEPHORA,44,Makeup Products (non-permanent),45,Blushes ,1001,12001-26-2,55714,Mica,10/05/2018,10/05/2018,2000-01-01,10/05/2018,10/05/2018,2000-01-01,3,Both,Dry,24 months,100ml,1.0,342.0,solid,Adults,9.0,box,Yes,Eco-Friendly
40582,DECORTE THE ROUGE VELVET,63063.0,BE801,1031,"KOS� America, Inc.",DECORT�,44,Makeup Products (non-permanent),53,"Lip Color - Lipsticks, Liners, and Pencils",656,13463-67-7,66441,Titanium dioxide,12/05/2019,12/05/2019,2000-01-01,12/05/2019,12/05/2019,2000-01-01,1,Day,Oily,12 months,50ml,5.0,2221.0,gel,Teens,19.0,tube,No,None
3486,Nature's Gate Organics Creamy Shave Gel Lavender & Aloe,,,1232,LEVLAD LLC,Nature's Gate,82,Shaving Products,86,Shaving Cream and other Beard Softeners,773,79-81-2,6190,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",10/12/2009,07/10/2019,09/10/2011,10/12/2009,10/12/2009,2000-01-01,1,Both,Normal,36 months,30g,4.0,2221.0,solid,Women,18.0,tube,Yes,None
5920,OMBRE ECLAT - Eye primer - Smoothing and priming base,,,298,GUERLAIN,GUERLAIN,44,Makeup Products (non-permanent),48,Eye Shadow,656,13463-67-7,47650,Titanium dioxide,10/19/2009,01/16/2017,02/11/2015,01/16/2017,01/16/2017,2000-01-01,1,Both,Dry,24 months,30g,1.0,4042.0,gel,Adults,6.0,box,No,Organic
5292,L'Oreal True Match Super-Blendable Compact Make-Up SPF 17 Sunscreen,9679.0,Nude Beige,67,L'Oreal USA,L'Oreal,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,9121,Titanium dioxide,10/15/2009,12/30/2010,2000-01-01,10/15/2009,10/15/2009,2000-01-01,1,Day,Normal,12 months,50ml,2.0,3037.0,cream,Women,26.0,jar,Yes,None
12355,BEBE Lip Gloss Flirtacious Pink,17757.0,summer sky,558,Interparfums Inc.,BEBE,44,Makeup Products (non-permanent),52,Lip Gloss/Shine,656,13463-67-,18593,Titanium dioxide,06/14/2010,12/30/2010,2000-01-01,06/14/2010,06/14/2010,2000-01-01,1,Day,Dry,36 months,30g,2.0,3116.0,liquid,Women,29.0,box,Yes,Cruelty-Free
22126,ROUGE G DE GUERLAIN EXCEPTIONAL COMPLETE LIP COLOUR,32733.0,69 GWEN,298,GUERLAIN,GUERLAIN,44,Makeup Products (non-permanent),53,"Lip Color - Lipsticks, Liners, and Pencils",1001,12001-26-2,33661,Mica,01/29/2014,10/13/2016,2000-01-01,01/29/2014,01/29/2014,2000-01-01,2,Night,Sensitive,36 months,200ml,5.0,2399.0,solid,Men,20.0,box,No,None
20818,Maybelline Instant Age Rewind Eraser Dark Spot Corrector Concealer,30563.0,fair/light,67,L'Oreal USA,Maybelline,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,31533,Titanium dioxide,09/13/2013,09/13/2013,2000-01-01,09/13/2013,09/13/2013,2000-01-01,1,Both,Normal,36 months,50ml,3.0,2085.0,cream,Adults,25.0,tube,No,None
36027,COLORSTAY� EYE LINER,55323.0,Jade,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),46,Eyeliner/Eyebrow Pencils,1104,1333-86-4,58052,Carbon black,12/31/2018,12/31/2018,2000-01-01,12/31/2018,12/31/2018,01/01/2018,1,Both,Normal,24 months,15g,4.0,2056.0,solid,Teens,27.0,bottle,No,Organic
16496,L'BEL DIVINE   double use compact,25265.0,BEIGE,685,"Ventura International, Ltd",L'BEL,44,Makeup Products (non-permanent),49,Face Powders,656,13463-67-7 ,25533,Titanium dioxide,04/14/2011,04/14/2011,2000-01-01,04/14/2011,04/14/2011,2000-01-01,2,Day,Oily,24 months,200ml,4.0,3396.0,cream,Children,21.0,box,No,None
14440,NARS Cream Eyeshadow,36674.0,Starlight,352,Nars Cosmetics,NARS,44,Makeup Products (non-permanent),48,Eye Shadow,656,13463-67-7,22098,Titanium dioxide,06/30/2010,11/06/2014,2000-01-01,06/30/2010,08/05/2014,2000-01-01,1,Day,Dry,24 months,100ml,2.0,4953.0,cream,Teens,7.0,tube,Yes,Eco-Friendly
6251,Lancome Juicy Tubes Jelly Ultra Shiny Lip Gloss,10881.0,Bolole,67,L'Oreal USA,Lancome,44,Makeup Products (non-permanent),52,Lip Gloss/Shine,656,13463-67-7,10162,Titanium dioxide,10/23/2009,12/30/2010,2000-01-01,10/23/2009,10/23/2009,2000-01-01,1,Night,Dry,24 months,100ml,3.0,1346.0,gel,Women,23.0,bottle,No,None
28336,Moisture Drench Lipstick,43851.0,Honey Bloom,562,The Boots Company PLC,No7,44,Makeup Products (non-permanent),53,"Lip Color - Lipsticks, Liners, and Pencils",656,13463-67-7,45734,Titanium dioxide,05/06/2016,12/11/2019,2000-01-01,05/06/2016,05/06/2016,05/06/2016,2,Night,Oily,12 months,50ml,1.0,4369.0,liquid,Women,19.0,bottle,Yes,None
780,Eyecolor,923.0,Whimsy,84,"Bare Escentuals Beauty, Inc.",bareMinerals,44,Makeup Products (non-permanent),48,Eye Shadow,656,13463-67-7,821,Titanium dioxide,09/11/2009,09/21/2016,2000-01-01,09/11/2009,09/11/2009,2000-01-01,1,Night,Sensitive,36 months,200ml,3.0,4910.0,solid,Children,15.0,box,No,Eco-Friendly
28077,Crest Complete Multi-Benefit Whitening + Cinnamon Expressions toothpaste,,,1036,The Procter & Gamble Company,Crest,68,Oral Hygiene Products,69,Teeth Cleaning Products,656,13463-67-7,45475,Titanium dioxide,04/20/2016,04/20/2016,2000-01-01,04/20/2016,04/20/2016,2000-01-01,1,Both,Sensitive,36 months,50ml,3.0,2776.0,solid,Adults,20.0,tube,No,None
23898,Gucci Face Lustrous Glow Foundation with Sunscreen SPF 25,36389.0,170,86,The Procter & Gamble Company,Gucci,90,Skin Care Products ,105,Other Skin Care Product,656,13463-67-7,36600,Titanium dioxide,10/20/2014,10/19/2018,10/02/2016,10/22/2014,10/22/2014,2000-01-01,1,Day,Normal,36 months,200ml,1.0,3810.0,gel,Children,17.0,jar,Yes,None
3640,Sally Hansen Insta-Dri Fast Dry Nail Color,7237.0,Cinna-Snap Creme,171,Coty,Sally Hansen,59,Nail Products,65,Nail Polish and Enamel,656,13463-67-7,6416,Titanium dioxide,10/12/2009,12/30/2010,2000-01-01,10/12/2009,10/12/2009,2000-01-01,1,Day,Normal,24 months,15g,2.0,3563.0,solid,Children,25.0,bottle,Yes,Cruelty-Free
24459,NARS Blush,37489.0,Sertao,352,Nars Cosmetics,NARS,44,Makeup Products (non-permanent),45,Blushes ,92,25013-16-5,37736,Butylated hydroxyanisole,12/22/2014,12/22/2014,11/01/2008,12/22/2014,12/22/2014,2000-01-01,2,Night,Dry,24 months,30g,3.0,2440.0,gel,Women,14.0,bottle,Yes,None
13554,CHOPSTICK PENCIL 05,,,609,AROMCA S.A,ERRE DUE,44,Makeup Products (non-permanent),46,Eyeliner/Eyebrow Pencils,656,13463-67-7,21040,Titanium dioxide,06/28/2010,06/28/2010,2000-01-01,06/28/2010,06/28/2010,2000-01-01,1,Both,Normal,12 months,100ml,2.0,4793.0,cream,Adults,4.0,bottle,No,None
19357,Dolce & Gabbana Clarifying Lotion,,,86,The Procter & Gamble Company,Dolce & Gabbana,90,Skin Care Products ,93,Skin Cleansers,656,13463-67-7,29387,Titanium dioxide,01/23/2013,10/17/2018,03/31/2017,01/23/2013,01/23/2013,2000-01-01,1,Day,Dry,36 months,50ml,3.0,2105.0,solid,Men,13.0,jar,No,None
780,Eyecolor,33259.0,Exquisite Taupe,84,"Bare Escentuals Beauty, Inc.",bareMinerals,44,Makeup Products (non-permanent),48,Eye Shadow,656,13463-67-7,821,Titanium dioxide,09/11/2009,09/21/2016,2000-01-01,09/11/2009,09/11/2009,2000-01-01,1,Both,Dry,12 months,200ml,3.0,4910.0,solid,Children,15.0,box,No,Eco-Friendly
8356,ZEA MAYS BLUSH 18 PEACH,,,353,KORRES S.A - NATURAL PRODUCTS,KORRES NATURAL PRODUCTS,44,Makeup Products (non-permanent),45,Blushes ,656,13463-67-7,13059,Titanium dioxide,12/13/2009,12/13/2009,2000-01-01,12/13/2009,12/14/2009,12/14/2009,1,Night,Sensitive,36 months,100ml,3.0,637.0,solid,Teens,3.0,jar,Yes,Organic
18724,ARTIST COLOR BOX,28398.0,Eyepencil,198,S+,Sephora ,44,Makeup Products (non-permanent),48,Eye Shadow,656,13463-67-7,28597,Titanium dioxide,10/30/2012,10/30/2012,2000-01-01,10/30/2012,10/30/2012,2000-01-01,1,Night,Oily,12 months,15g,1.0,3857.0,gel,Adults,16.0,jar,Yes,None
16364,ACTI'MINE - COLOR CORRECTING PRIMER,24734.0,7 - ACTI SWEET,373,LVMH FRAGRANCE BRANDS,LVMH FRAGRANCE BRANDS,44,Makeup Products (non-permanent),50,Foundations and Bases,1001,12001-26-2,46571,Mica,03/30/2011,08/18/2016,2000-01-01,08/18/2016,08/18/2016,2000-01-01,2,Day,Normal,24 months,100ml,2.0,2603.0,liquid,Women,28.0,jar,Yes,Eco-Friendly
30017,Gelish Soak-Off Gel Polish - Angling for a Kiss,,,1027,"Hand & Nail Harmony, Inc",Gelish,59,Nail Products,168,UV Gel Nail Polish,656,13463-67-7,48570,Titanium dioxide,04/18/2017,04/18/2017,2000-01-01,04/18/2017,04/18/2017,2000-01-01,1,Both,Dry,36 months,50ml,4.0,33.0,solid,Children,14.0,tube,Yes,None
38736,ALMAY-ALM SOLID LIP OIL,61608.0,Sugar Plum,23,Revlon Consumer Product Corporation,Almay,44,Makeup Products (non-permanent),53,"Lip Color - Lipsticks, Liners, and Pencils",656,13463-67-7,63593,Titanium dioxide,08/22/2019,08/22/2019,2000-01-01,08/22/2019,08/22/2019,2000-01-01,1,Day,Sensitive,36 months,30g,3.0,2599.0,gel,Teens,21.0,jar,Yes,Eco-Friendly
15139,Beautiful Brows Pencil,21190.0,Blonde,562,The Boots Company PLC,No7,44,Makeup Products (non-permanent),46,Eyeliner/Eyebrow Pencils,656,13463-67-7,23238,Titanium dioxide,08/24/2010,11/01/2013,11/01/2013,08/24/2010,08/24/2010,2000-01-01,1,Night,Dry,24 months,100ml,2.0,2332.0,gel,Men,8.0,box,Yes,None
780,Eyecolor,683.0,Congo,84,"Bare Escentuals Beauty, Inc.",bareMinerals,44,Makeup Products (non-permanent),48,Eye Shadow,656,13463-67-7,821,Titanium dioxide,09/11/2009,09/21/2016,2000-01-01,09/11/2009,09/11/2009,2000-01-01,1,Both,Oily,12 months,200ml,3.0,4910.0,solid,Children,15.0,box,No,Eco-Friendly
1074,Illusion Soak Off Color Gels,1853.0,Hocus Pinkus,82,AMCO International,NSI,59,Nail Products,60,Artificial Nails and Related Products,656,13463-67-7,1179,Titanium dioxide,09/17/2009,08/29/2019,2000-01-01,09/17/2009,09/17/2009,2000-01-01,1,Day,Dry,12 months,50ml,2.0,1966.0,cream,Men,7.0,jar,Yes,Eco-Friendly
22736,READY Eyeshadow,34604.0,Euphoria,84,"Bare Escentuals Beauty, Inc.",bareMinerals,44,Makeup Products (non-permanent),48,Eye Shadow,656,13463-67-7,34486,Titanium dioxide,04/02/2014,09/27/2019,2000-01-01,04/02/2014,04/02/2014,2000-01-01,1,Both,Normal,36 months,30g,1.0,4157.0,cream,Adults,1.0,jar,No,None
36771,Gen Nude Eyeshadow,61742.0,Mauve Mantra,84,"Bare Escentuals Beauty, Inc.",bareMinerals,44,Makeup Products (non-permanent),48,Eye Shadow,656,13463-67-7,60097,Titanium dioxide,03/08/2019,08/22/2019,2000-01-01,03/08/2019,03/08/2019,2000-01-01,1,Day,Oily,24 months,100ml,4.0,2405.0,solid,Teens,20.0,jar,Yes,Eco-Friendly
24139,Better Than False Lashes Extreme!,,,943,Too Faced Cosmetics,Too Faced ,44,Makeup Products (non-permanent),162,Mascara/Eyelash Products,656,13463-67-7,37264,Titanium dioxide,12/11/2014,12/11/2014,2000-01-01,12/11/2014,12/11/2014,2000-01-01,2,Night,Dry,12 months,200ml,5.0,3208.0,liquid,Women,3.0,box,Yes,Eco-Friendly
17968,Lancome Rouge in Love,27826.0,Cocoa Couture,67,L'Oreal USA,Lancome,44,Makeup Products (non-permanent),53,"Lip Color - Lipsticks, Liners, and Pencils",656,13463-67-7,27785,Titanium dioxide,05/16/2012,05/16/2012,2000-01-01,05/16/2012,05/16/2012,2000-01-01,1,Day,Dry,36 months,100ml,1.0,2638.0,solid,Children,9.0,box,Yes,None
17531,GLOSS SERUM REPULPANT / VOLUME BOOSTER GLOSS SERUM,27176.0,03 extra kiss,198,S+,Sephora ,44,Makeup Products (non-permanent),52,Lip Gloss/Shine,656,13463-67-7,27266,Titanium dioxide,01/25/2012,01/25/2012,2000-01-01,01/25/2012,01/25/2012,2000-01-01,1,Day,Oily,36 months,100ml,1.0,3838.0,solid,Teens,26.0,tube,Yes,Eco-Friendly
14379,NARS Velvet Matte Lip Pencil,46516.0,Intriguing,352,Nars Cosmetics,NARS,44,Makeup Products (non-permanent),53,"Lip Color - Lipsticks, Liners, and Pencils",656,13463-67-7,22029,Titanium dioxide,06/30/2010,11/29/2018,2000-01-01,06/30/2010,08/03/2015,2000-01-01,1,Day,Normal,12 months,200ml,4.0,409.0,gel,Teens,9.0,box,Yes,Organic
33187,COCOA BLEND VOYAGER (PURE GANACHE),49730.0,PURE GANACHE,1218,ZOEVA GmbH,ZOEVA,44,Makeup Products (non-permanent),48,Eye Shadow,656,13463-67-7,53617,Titanium dioxide,05/26/2018,05/26/2018,2000-01-01,05/26/2018,05/26/2018,2000-01-01,1,Night,Normal,36 months,50ml,5.0,1003.0,liquid,Women,3.0,jar,No,Cruelty-Free
1187,Lasting Creme Eyeliner,1712.0,Slate,91,Merle Norman Cosmetics,Merle Norman Cosmetics,44,Makeup Products (non-permanent),46,Eyeliner/Eyebrow Pencils,656,13463-67-7,1308,Titanium dioxide,09/19/2009,07/08/2015,2000-01-01,09/19/2009,09/19/2009,2000-01-01,1,Night,Oily,12 months,15g,5.0,1286.0,powder,Men,14.0,tube,Yes,None
36538,I'M MEME I'M MULTI CUBE 001 All About Candy Pink,57999.0,Caramel Candy,1163,Memebox Corporation,I'M MEME,44,Makeup Products (non-permanent),45,Blushes ,656,13463-67-7,59687,Titanium dioxide,02/11/2019,04/09/2019,2000-01-01,02/11/2019,02/11/2019,2000-01-01,2,Night,Sensitive,12 months,200ml,1.0,3758.0,liquid,Men,23.0,bottle,Yes,Eco-Friendly
20995,Rimmel - London Salon Pro with Lycra Nail Polish,31229.0,Britpop,171,Coty,Rimmel - London,59,Nail Products,65,Nail Polish and Enamel,656,13463-67-7,31940,Titanium dioxide,10/02/2013,10/02/2013,2000-01-01,10/02/2013,10/02/2013,2000-01-01,2,Day,Sensitive,12 months,100ml,4.0,1103.0,liquid,Children,18.0,jar,Yes,Cruelty-Free
20064,"PALETTE DE FARDS CUITS SEPHORA MICROSMOOTH, COLLECTION HIVER FEERIQUE / SEPHORA MICROSMOOTH BAKED WINTER WONDERLAND COLLECTION",29862.0,Bronzer,198,S+,Sephora ,44,Makeup Products (non-permanent),45,Blushes ,656,13463-67-7,30464,Titanium dioxide,06/13/2013,06/13/2013,2000-01-01,06/13/2013,06/13/2013,2000-01-01,1,Night,Sensitive,12 months,100ml,5.0,2604.0,cream,Teens,19.0,tube,No,Vegan
29068,Monsters' Ball,,,997,Lush Ltd,Lush Ltd,6,Bath Products,7,Bath Additives,656,13463-67-7,47140,Titanium dioxide,10/04/2016,10/04/2016,2000-01-01,10/04/2016,10/04/2016,2000-01-01,1,Night,Sensitive,36 months,200ml,3.0,1683.0,gel,Teens,28.0,jar,Yes,Organic
2981,Oil-Free Acne Wash Pink Grapefruit Body Cleanser,,,954,Johnson & Johnson Consumer Companies,Neutrogena,90,Skin Care Products ,91,Acne Products (making a cosmetic claim),656,13463-67-7,4992,Titanium dioxide,10/08/2009,10/04/2016,2000-01-01,10/08/2009,10/12/2009,10/12/2009,1,Day,Normal,24 months,50ml,4.0,3124.0,gel,Children,20.0,jar,Yes,None
14034,Fabulous Face Foundation,20310.0,Creamy Natural,628,"Ulta Salon, Cosmetics & Fragrance, Inc.",Ulta,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,21650,Titanium dioxide,06/29/2010,12/30/2010,2000-01-01,06/29/2010,06/29/2010,2000-01-01,1,Day,Oily,12 months,30g,5.0,2930.0,solid,Teens,21.0,tube,No,None
4125,Rimmel - London Renew & Lift Foundation with SPF,8614.0,Sand,171,Coty,Rimmel - London,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,7362,Titanium dioxide,10/13/2009,09/16/2013,2000-01-01,10/13/2009,10/13/2009,2000-01-01,1,Night,Sensitive,12 months,30g,2.0,2370.0,gel,Children,9.0,box,Yes,None
13612,Deep Moisturizing Body Wash,,,615,"Vi-Jon, Inc.",Exchange Select,6,Bath Products,159,Body Washes and Soaps,656,13463-67-7,38839,Titanium dioxide,06/28/2010,02/11/2015,2000-01-01,01/13/2015,01/13/2015,2000-01-01,1,Day,Dry,24 months,30g,4.0,1677.0,powder,Women,20.0,bottle,Yes,Eco-Friendly
21504,ProGel - Pouty Princess,,,372,American International Industries,SuperNail,59,Nail Products,168,UV Gel Nail Polish,656,13463-67-7,32670,Titanium dioxide,11/15/2013,11/15/2013,2000-01-01,11/15/2013,11/15/2013,2000-01-01,1,Both,Normal,36 months,100ml,3.0,2823.0,cream,Adults,7.0,tube,Yes,None
22778,Bath & Body Works Shimmer Bomb,34834.0,Velvet Sugar,556,Victoria's Secret Beauty,Bath & Body Works,90,Skin Care Products ,105,Other Skin Care Product,656,13463-67-7,34534,Titanium dioxide,04/10/2014,04/10/2014,2000-01-01,04/10/2014,04/10/2014,2000-01-01,1,Night,Sensitive,24 months,200ml,5.0,313.0,cream,Women,8.0,tube,Yes,Organic
21263,Amazing Grace,,,931,Deborah Lippmann,Deborah Lippmann,59,Nail Products,65,Nail Polish and Enamel,656,13463-67-7,32391,Titanium dioxide,10/28/2013,10/28/2013,2000-01-01,10/28/2013,10/28/2013,2000-01-01,1,Both,Oily,12 months,100ml,2.0,3449.0,liquid,Teens,12.0,bottle,No,Organic
23601,Chateau de Vine Lipstick,35850.0,Smooth Talker,226,purminerals,Purminerals,44,Makeup Products (non-permanent),53,"Lip Color - Lipsticks, Liners, and Pencils",893,79-81-2,36010,Vitamin A palmitate,09/22/2014,09/22/2014,2000-01-01,09/22/2014,09/22/2014,2000-01-01,2,Night,Dry,24 months,200ml,4.0,2828.0,liquid,Adults,9.0,bottle,No,None
3799,Aqualumiere Lip Shine,8105.0,Positano,27,"CHANEL, INC",CHANEL,44,Makeup Products (non-permanent),53,"Lip Color - Lipsticks, Liners, and Pencils",656,13463-67-7,6897,Titanium dioxide,10/13/2009,12/30/2010,2000-01-01,10/13/2009,10/13/2009,2000-01-01,1,Night,Sensitive,24 months,200ml,1.0,1416.0,cream,Children,11.0,jar,No,None
36414,Photoready Concealer,57244.0,Medium Deep,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),57,Makeup Fixatives,656,13463-67-7,58922,Titanium dioxide,02/06/2019,02/06/2019,2000-01-01,02/06/2019,02/06/2019,2000-01-01,1,Day,Sensitive,12 months,15g,5.0,4107.0,liquid,Men,21.0,bottle,No,None
2629,CHROME EYESHADOW,4750.0,VIOLET,30,"NYX Los Angeles, Inc.",NYX,44,Makeup Products (non-permanent),48,Eye Shadow,104,1333-86-4,4014,"Carbon black (airborne, unbound particles of respirable size)",10/07/2009,12/30/2010,2000-01-01,10/07/2009,10/07/2009,2000-01-01,2,Day,Oily,24 months,30g,1.0,2864.0,powder,Adults,22.0,tube,No,None
16717,Maybelline Instant Age Rewind Eraser Dark Circles Treatment Concealer,25600.0,brightener,67,L'Oreal USA,Maybelline,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,26007,Titanium dioxide,06/28/2011,06/28/2011,2000-01-01,06/28/2011,06/28/2011,2000-01-01,1,Night,Normal,24 months,200ml,4.0,341.0,gel,Adults,28.0,box,Yes,None
33990,BROW SPECTRUM EYEBROW POWDER PALETTE (BR050),52675.0,BR050,1218,ZOEVA GmbH,ZOEVA,44,Makeup Products (non-permanent),58,Other Makeup Product,894,14807-96-6,54990,Talc,08/17/2018,08/17/2018,2000-01-01,08/17/2018,08/17/2018,2000-01-01,2,Both,Sensitive,24 months,15g,3.0,2527.0,liquid,Teens,6.0,box,No,Cruelty-Free
16559,"L�BEL COFFRET COULEUR  Makeup Palette for the Face, Eyes and Lips",25460.0,Lumineuse,685,"Ventura International, Ltd",L'BEL,44,Makeup Products (non-permanent),45,Blushes ,656,13463-67-7,25757,Titanium dioxide,05/16/2011,05/16/2011,2000-01-01,05/16/2011,05/16/2011,2000-01-01,2,Day,Sensitive,36 months,30g,1.0,4824.0,gel,Teens,9.0,bottle,Yes,None
36620,Micropigmentation Pigment,58184.0,Pink Blossom,76,LI Pigments,Forever Lips,111,Tattoos and Permanent Makeup,157,Tattoos and Permanent Makeup,656,13463-67-7,59911,Titanium dioxide,02/22/2019,02/22/2019,2000-01-01,02/22/2019,02/22/2019,2000-01-01,2,Both,Dry,24 months,50ml,1.0,408.0,liquid,Teens,5.0,box,Yes,None
33899,AQUA XL COLOR PAINT EXTRA LONG LASTING WATERPROOF SHADOW,51822.0,M-56,1231,MAKE UP FOR EVER,MAKE UP FOR EVER,44,Makeup Products (non-permanent),48,Eye Shadow,656,13463-67-7,54737,Titanium dioxide,08/13/2018,09/06/2019,2000-01-01,08/13/2018,08/13/2018,2000-01-01,2,Night,Sensitive,12 months,200ml,5.0,252.0,liquid,Women,27.0,bottle,No,Eco-Friendly
29749,K.I.S.S.I.N.G,46309.0,Love Bite,1154,Charlotte Tilbury Beauty Ltd,Charlotte Tilbury,44,Makeup Products (non-permanent),53,"Lip Color - Lipsticks, Liners, and Pencils",776,13463-67-7,48060,"Silica, crystalline (airborne particles of respirable size)",03/20/2017,10/23/2019,2000-01-01,03/20/2017,10/23/2019,2000-01-01,2,Night,Oily,24 months,100ml,5.0,4079.0,liquid,Adults,26.0,jar,No,Organic
26476,Vaseline Intensive Care Deep Repair Healing Serum,,,184,"Conopco, Inc.",Vaseline,90,Skin Care Products ,102,Skin Moisturizers (making a cosmetic claim),656,13463-67-7,41915,Titanium dioxide,07/09/2015,07/09/2015,2000-01-01,07/09/2015,07/09/2015,2000-01-01,1,Both,Oily,24 months,15g,5.0,4467.0,gel,Children,15.0,tube,No,None
33541,GLAZED LIP PAINT,50778.0,GLG783,546,"Beauty 21 Cosmetics, Inc.",L.A. GIRL,44,Makeup Products (non-permanent),52,Lip Gloss/Shine,656,13463-67-7,54268,Titanium dioxide,07/17/2018,07/17/2018,2000-01-01,07/17/2018,07/17/2018,2000-01-01,1,Night,Normal,12 months,200ml,2.0,2257.0,gel,Adults,8.0,tube,No,Vegan
28146,STAMPING LIP TINT #8 [DOLLY ORANGE] (upper),43560.0,#8,1076,AMOREPACIFIC US INC.,MAMONDE,44,Makeup Products (non-permanent),53,"Lip Color - Lipsticks, Liners, and Pencils",656,13463-67-7,45543,Titanium dioxide,04/28/2016,04/28/2016,2000-01-01,04/28/2016,04/28/2016,2000-01-01,1,Both,Sensitive,12 months,30g,1.0,2942.0,powder,Children,15.0,tube,Yes,None
2657,Sally Hansen 24 Hour Lip Treatment,,,171,Coty,Sally Hansen,44,Makeup Products (non-permanent),52,Lip Gloss/Shine,656,13463-67-7,6300,Titanium dioxide,10/07/2009,02/01/2019,2000-01-01,10/12/2009,10/12/2009,2000-01-01,3,Night,Oily,12 months,200ml,2.0,292.0,cream,Teens,8.0,box,No,Organic
24772,Courage,,,1030,Artistic Nail Design - Nail Alliance LLC,Artistic Nail Design ,59,Nail Products,168,UV Gel Nail Polish,656,13463-67-7,38308,Titanium dioxide,12/30/2014,12/30/2014,2000-01-01,12/30/2014,12/30/2014,2000-01-01,2,Day,Dry,36 months,30g,1.0,554.0,liquid,Women,1.0,box,Yes,None
26979,EYE PALETTE: SWINGING SILVER,41634.0,SHADE 3,77,"Buth-na-Bodhaige, Inc",The Body Shop,44,Makeup Products (non-permanent),58,Other Makeup Product,656,13463-67-7,43473,Titanium dioxide,10/14/2015,10/14/2015,2000-01-01,10/14/2015,10/14/2015,2000-01-01,1,Both,Sensitive,12 months,15g,1.0,1464.0,liquid,Adults,16.0,tube,No,Cruelty-Free
36494,MASTER EYE PALETTE #MATTE MASTER,57616.0,E,1163,Memebox Corporation,PONY EFFECT,44,Makeup Products (non-permanent),48,Eye Shadow,656,13463-67-7,59429,Titanium dioxide,02/11/2019,04/10/2019,2000-01-01,02/11/2019,02/11/2019,2000-01-01,2,Night,Normal,12 months,200ml,5.0,4904.0,liquid,Adults,13.0,bottle,No,Eco-Friendly
